metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
CORTICOSTERONE (M+Na)+	13206		14369				24483		22659				12686	14136	14812				22545		5177				41362	44923	7579				9287	29547	24269				14890	14145	23981				61172	111743	132744				16707	15726	7107				9519	24766	8700			
LYSINE (M+H)+	36631	36105	34976	49293	67427	38276	44969	32152	41686	51088	62760	45774	44443	37838	37683	108512	117632	105603	42686	36494	39056	56096	58312	55578	33831	33586	32478	52209	60377	49551	35381	32418	33308	80130	57500	62659	36417	31863	31553	63820	85072	66881	36266	27837	26982	60253	63181	39924	39962	41237	41535	54375	45179	57208	42751	45361	43323	107567	130584	101759
SUBERIC ACID (M+Na)+				40104	23713	51550				9228	57355	25777				23507	32307	26344				40167	37557	27472				34794	33836	38956				29779	19410	18548				18778	38748	8459				14012	27660	24405				20684	28862	60998				35961	38191	18723
DECANOIC ACID (2M+Na)+	12014	7435	7562				78029	7033	7224					7507					20339	59380	89317					157818	79429				166401	125020	122671				180500	129903	116774				135544	90925	75450				163405	224897	56889				79134	32231	16565			
N-ACETYL-DL-SERINE (M+H)+[-H2O]				278366	485427	117394						229616					699576	651186				288516		673000				442869	221285	94290				312381	564890	211519				502304		446374				697366	327717					574329	583523	229221				367450		
ALPHA-TOCOPHEROL (M+H)+	46831	69650	79779				74660	35531	46932				26422	33536	64444				34154	67767	108624				19671	34895	41428				34432	72278	56597				74818	35617	25162				18942	72855	83682				111867	70993	87293				142470	131820	106222			
PYRIDOXAL (M+H)+[-H2O]	1739136	1696100	1833120				2651903	1680926	2204741				1881782	2123623	1942119				1565727	1441453	1328738				1652654	1660093	1580147				1346650	1676539	1457547				1695932	1329495	1599219				1935771	1643133	1644244				1958726	1946133	2036268				1686561	1753898	1600029			
AZELAIC ACID (M+H)+[-H2O]	3906	21809	29213				15521	8001	26911				18269	17542	36120				40224	17222	19119				18970	5073	3853				8967	25262	22552				26122	8776	17382				30777	7868	24114				17041	18876	18069				27164	29821	26345			
METHIONINE (M+H)+				2039442	1344047	1603899				812813	1257819					1284815	1143850	1194862				1436412	1314554	1390123				1270187		1382849				1518035	1530505	1132627				1817624	1475789	1643878				1678071	1458301	1336440				1507461	1349296	1286586				1922317	1669642	2383896
OLEOYL-GLYCEROL (M+Na)+	449243	573518	578584	58750	226091	306794	629903	572155	596743	242932	596060	210094	413898	550981	28441	470429	536184	329386	23326	376789	477095	138136	329819	302927	1135774	1326631	1795411	87403	49656	285201	448378	696219	671084	364858	153594	143386	934836	769573	727484	54911	72525	295819	533284	507060	490356	177117	210946	2455300	470249	424367	417772	114476	269462	39997	742968	738316	530044	97641	140824	687553
NAD (M+H)+				66691	104266	47780				51929	81966	19747				47630	10110	20220				30817	122267	51423				69692	85945	178828				102264	276939	110471				172822	129602	14579				62097	162311	103135				23545	65270	77546				100138	45108	44069
KYNURENIC ACID (M+H)+	105098	164051	114246				98708	104182	106291				73622	53695	46108				70772	56205	82714				40698						45859		54809					53865	55867				54127						123640	95576	97868				61391	76513	67916			
GLYCOCHOLIC ACID (M+H)+	139070	15306	164041				35831	9298	61920				32615	34172	52704				58876	30340	33550				61577		19297				26729	79318	107653				316240	145317	346962				31525	38585	32708				99164	141313	171227				13231	31700	17054			
3-METHOXYTYROSINE (M+H)+	57230	49087	50527				82101	58352	61711				86459	96362	89663				34357	52312	46453				24995	27698	28570				35063	44460	53669				44399	28779	36106				63376	58126	67007				83292	75876	76683				35490	35851	27372			
HEXANOYLCARNITINE (*) M+	18794	43518	33250	1425508	407983	296278	62075	80837	65089	117446	891701	218858	91268	51881	39559	631105	492563	1220998		63200	90321	1228165	3176988	1149055	117639	114403	145789	239479	1821250	2047786	63405	69714	78962	386092	4283291	557793	126245	72367	101369	1777213	453779	1587204	125844	151614	169344	714104	976032	300126	152284	136020	104860	458899	889772	2487773	95342	105575	112981	3000652	1148576	1216971
3-HYDROXYLAUROYLCARNITINE (*) (M+H)+				87707	48699	47615				14348	158891	40282				41405	39917	78082				59824	159600	78905				29713	42391	73330				38628	218971	69219				84153	94719	79032				64505	117543					112390	92836	98667				210095	112562	160161
INDOLE-3-ACETIC ACID (M+H)+	477850	434337	326814				415198	285360	520234				290401	363924	426322				410969	329943	404859				371254	559573	255476				333429	314949	343945				745402	577977	568709				513990	799500	888778				87270	72664	94261				471227	701884	512757			
ACETYLCARNITINE (M+H)+				21981272	11234780	11097120				4303210	20747816	9078241				7511560	9235093	12266614				12269959	18776648	12798206				14650994	14787084	23472532				9148208	15810039	6039130				13270493	11462921	11988996				12926222	23016976	6776443				14672631	18655580	19012090				20310400	11444805	17785292
HYPOXANTHINE (M+H)+				4482687	2301433	2617649				2207555	3037724	4052926				3269655	5684812	3239736				2423451	2885552	2984797				5213980	3920764	2698702				1607615	2087072	1198381				4019356	2959320	6882987				3734063	1678446	1176770				4474706	1892197	2937599				4787966	4980808	3537012
L-ARGININE (M+H)+	12437	12649	17877				13451	9896	9839				13989	23709	12450				13335	17115	12988				17709	17997	13995				22818	10001	18053				12759	13597	14296				23494	21008	8508				19573	19565	13415				15026	12993	15178			
16:0 LYSO PC (M+Na)+	1085732	1029649	1173943	153492	846546	94559	1077451	1017921	1307672	302101	143682	210754	1300451	1144009	1063054	149332	678130	628489	1062165	1001459	1119667	1962043	131256	121943	867036	877155	1095081	641281	163212	268106	970440	1185592	1310436	223078	172535	105853	1306577	1016251	1328711	191559	182677	229766	1149207	1246102	1215773	309928	330884	1271504	1310491	1170539	1277144	133986	145960	115560	1054055	1145094	996165	177962	117322	207261
PANTOTHENIC ACID (M+Na)+	108403	49823	55567				35991	30930	40048				45374	24643	33951				51574	36720	38710				56551	66687	67706				12799	40483	41174				51705	59981	59514				51094	68394	77065				35507	44595	35416				61362	80440	60355			
N-ACETYL-D-TRYPTOPHAN (M+H)+	11192	5943671	5878				11155	6322022	9991				6372394	2413							7824				10328	7611	5708489					5088	7122				13430	8065	7461				6770		9898				8153	5425	7227				6074550	13894	5044836			
PHENYLALANINE (M+H)+		1167452	69144	351811	276871	422529	93665	127737	91222	613655	272589	421904	109853	1213717	1295275	327653	177784	294606	74038	55688	70285	409567	340574	404097	56247	125314	79411	280235	327639	281177	1133739	1476796	1444744	307246	319501	332595	68757	1224469	122663	466498	288241	314659	113120	85583	98899	420922	400378	143084	124682	71893	1253952	312534	299483	444088	48821	113889	35702	488763	322753	100925
CARNITINE (M+H)+	27195	8121	76137	1319497	1941049	1341186	88487	126899	36614	8932871	1799763	9066256	83126		43759	1113811	2555729	1175291		40656	103178	1391649	1290844	1520227	40214	154417		1229014	1435179	1608001	147842	50324	139231	2222414	3212101	3367394	19525	193421	60412	3413833	1868064	1148402	95314	127845	8363	1753040	2309875	9323413			35627	1385756	1551913	1208431		68227	27142	1842993	1606966	1671814
L-HISTIDINE (M+H)+				42815	41466	37766				35475	32230					64118	21060	18645				30799	48732	54313				60281	26009	53229				11274	19888	21227				32967	19251					37739	36913	37957					51624	40276				18053	27782	29866
L-HISTIDINE (M+Na)+		4617		11446	9557	8539		7633	7939	6324	6599	6885	8112	8063	1210	10730	8943	5061			3853	8165	6351	6536	6912	7143		9922	5683	11330	6588		4617	4442	7166	5932	8387			6078	6861	5967	11519	5907	5174	8189	8537	7356	7309			8876	4411	8881	5003	6064	5976	8462	3855	8611
N-ACETYL-D-TRYPTOPHAN (M+Na)+		2264926					1601	2198683	1243				2441289														2041661																2431						1088	2029					2274634	1160	1814696			
3-METHYLHISTAMINE (M+H)+										5866	4146	51939					20438	24810				17071	31812	14294				9685	9852					9964	18999	11689				2817		7328				2784	4206	3987				10794	13793	14522				11144	16141	11784
OLEAMIDE (M+Na)+				83904								161737																							243629					133644						284208													136710	
