analyte	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
MYRISTOLEIC ACID (M-H)-	21115	27650	32044				33502	57105	34538				78362	57119	41600				28277	34542	31822				52456	56107	55795				24108	32334	22098				39620	37631	33627				66093	74965	99480				22384	19424	15796				31147	31120	26803			
SALICYLATE #2 (M-H)-	48144	35649	102739	13952		12303	21083	28422	38277	10870	8264	13325	50244	56045	159996	10651	9965	12930	9911	12628	12405	6993		9149	67230	23772	29308	9854	10180	8862	21812	59687	28318	7516	10469	10341	17667	19905	17092		10444		58397	173713	195360	9176	8797	9593	22498	30839	20534		7524	12388	21921	41570	21374	10831	13817	7520
CORTISOL (M+Cl)-	145051	75218	82075				144534	128924	165202				135851	152212	180741				161470	93921	60367				292358	298714	153301				80199	149359	145298				144739	136408	181684				204596	183360	211483				136372	129177	69577				111168	155909	110578			
CORTISOL (M+HCOO)-				16729	5493	5586				4366	20439	8146				12547	12761	14327				5895	12874	10529				9844	10642	19793				7532	23572	4705				3884	19438	3595				6859	10751	4333				10010	5868	13603				23593	11484	19049
BEHENIC ACID (M-H)-	12669	10457	8398	15790	10216	14991	9831	8998	6272	17628	15237	13400	5486	13240	10837	18526	14238	11086	4398	13564	10134	11652	10644	9538	8329	6061	7296	10491	8826	10229	11127	12517	10760	12084	8973	12475	12320	19857	10897	4962	13415	2287	11610	10237	12999	11625	11239	8007	8860	9639	10108	13070	15304		6707	13974	11228	13963	17608	15233
CHOLIC ACID (M-H)-	4853	1406							4216				3910	53579	107073				1686	4224	1967				2213						32159	1639	1907				5606		8470				74043	34372	14840				2849	43649	3113				2622	102216	6762			
2-DEOXY-D-GLUCOSE (M+Cl)-	88928	90284	127998	9823	22526	17307	110539	102905	116946	10683	3159	13567	90628	130734	9610	5376		11787	142234	178479	114915	11852	14477	25848	83603	77965	95601	8019	8119	16771	92354	78362	84168	8687		7051	28041		17815	12143		15115	110342	103835	95822	10540	3954	7614	107954	37246	122616	17966	8136	9920	135412	136841	78786	12606	4888	9511
IBUPROFEN (M-H)-								352336						332576												2260	3650																																	
PHTHALIC ACID (M-H)-	24436	25989	29854	13609	8008	11565	25702	27250	28647	11335	12543	16106	25550	23163	47422	11880	10618	10998	31083	42949	33635	11767	13364	10048	22581	17054	17297	15583	17682	15638	25599	20395	19856	12373	11744	10948	19014	21807	34599	2174	13076		29318	27551	25034	10498	10992	10720	28931	32294	40515	13976	11733	12661	24263		17250	11659	13202	10047
PYRUVIC ACID (M-H)-				78472	79497	34489				18109	15658	47692				89402	32326	27078				26556	12723	59087				63797	68947	82796				41354	17391	20515					28542					90856	38433	21961				63385	34128	20948				58895	50066	42307
